graph,order,size,time,iterations,error,technique,min_compute
"min-NvgraphEx","6","11","0.351","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","500"
"min-NvgraphEx","6","11","0.361","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","1000"
"min-NvgraphEx","6","11","0.34","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","5000"
"min-NvgraphEx","6","11","0.55","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","10000"
"min-NvgraphEx","6","11","0.446","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","50000"
"min-NvgraphEx","6","11","0.398","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","100000"
"min-NvgraphEx","6","11","0.361","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","500000"
"min-NvgraphEx","6","11","0.371","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","1000000"
"min-NvgraphEx","6","11","0.38","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","5000000"
"min-NvgraphEx","6","11","0.375","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","10000000"
"min-NvgraphEx","6","11","0.373","16","4.8429e-7","pagerankComponentwiseCudaL2Norm","50000000"
"min-NvgraphEx","6","11","0.382","16","4.8429e-7","pagerankMonolithicCudaLiNorm","0"
"min-NvgraphEx","6","11","3.108","42","0.00001495","pagerankComponentwiseCudaLiNorm","1"
"min-NvgraphEx","6","11","1.858","24","0.0000058785","pagerankComponentwiseCudaLiNorm","5"
"min-NvgraphEx","6","11","0.38","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","10"
"min-NvgraphEx","6","11","0.377","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","50"
"min-NvgraphEx","6","11","0.373","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","100"
"min-NvgraphEx","6","11","0.369","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","500"
"min-NvgraphEx","6","11","0.375","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","1000"
"min-NvgraphEx","6","11","0.381","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","5000"
"min-NvgraphEx","6","11","0.377","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","10000"
"min-NvgraphEx","6","11","0.378","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","50000"
"min-NvgraphEx","6","11","0.373","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","100000"
"min-NvgraphEx","6","11","0.374","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","500000"
"min-NvgraphEx","6","11","0.377","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","1000000"
"min-NvgraphEx","6","11","0.379","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","5000000"
"min-NvgraphEx","6","11","0.376","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","10000000"
"min-NvgraphEx","6","11","0.383","16","4.8429e-7","pagerankComponentwiseCudaLiNorm","50000000"
"web-Stanford","281903","2312669","10.159","63","0","pagerankMonolithicCudaL1Norm","0"
"web-Stanford","281903","2312669","4295.952","52","0.0000044319","pagerankComponentwiseCudaL1Norm","1"
"web-Stanford","281903","2312669","2849.954","52","0.0000044294","pagerankComponentwiseCudaL1Norm","5"
"web-Stanford","281903","2312669","2259.292","52","0.0000039296","pagerankComponentwiseCudaL1Norm","10"
"web-Stanford","281903","2312669","1083.183","54","0.0000038541","pagerankComponentwiseCudaL1Norm","50"
"web-Stanford","281903","2312669","769.32","56","0.0000037449","pagerankComponentwiseCudaL1Norm","100"
"web-Stanford","281903","2312669","311.957","59","0.0000040759","pagerankComponentwiseCudaL1Norm","500"
"web-Stanford","281903","2312669","196.809","60","0.0000033706","pagerankComponentwiseCudaL1Norm","1000"
"web-Stanford","281903","2312669","93.212","62","0.0000031061","pagerankComponentwiseCudaL1Norm","5000"
"web-Stanford","281903","2312669","81.295","63","0.0000030599","pagerankComponentwiseCudaL1Norm","10000"
"web-Stanford","281903","2312669","67.64","63","0.0000026923","pagerankComponentwiseCudaL1Norm","50000"
"web-Stanford","281903","2312669","63.173","62","9.8445e-7","pagerankComponentwiseCudaL1Norm","100000"
"web-Stanford","281903","2312669","61.362","63","5.8627e-8","pagerankComponentwiseCudaL1Norm","500000"
"web-Stanford","281903","2312669","61.331","63","5.8627e-8","pagerankComponentwiseCudaL1Norm","1000000"
"web-Stanford","281903","2312669","61.345","63","5.8627e-8","pagerankComponentwiseCudaL1Norm","5000000"
"web-Stanford","281903","2312669","61.326","63","5.8627e-8","pagerankComponentwiseCudaL1Norm","10000000"
"web-Stanford","281903","2312669","61.36","63","5.8627e-8","pagerankComponentwiseCudaL1Norm","50000000"
"web-Stanford","281903","2312669","6.643","44","0.000036186","pagerankMonolithicCudaL2Norm","0"
"web-Stanford","281903","2312669","3983.023","39","0.000049095","pagerankComponentwiseCudaL2Norm","1"
"web-Stanford","281903","2312669","2592.4","40","0.00005683","pagerankComponentwiseCudaL2Norm","5"
"web-Stanford","281903","2312669","2022.063","40","0.000048807","pagerankComponentwiseCudaL2Norm","10"
"web-Stanford","281903","2312669","940.374","41","0.000048728","pagerankComponentwiseCudaL2Norm","50"
"web-Stanford","281903","2312669","657.781","43","0.000048869","pagerankComponentwiseCudaL2Norm","100"
"web-Stanford","281903","2312669","259.107","45","0.000065747","pagerankComponentwiseCudaL2Norm","500"
"web-Stanford","281903","2312669","160.189","46","0.000064747","pagerankComponentwiseCudaL2Norm","1000"
"web-Stanford","281903","2312669","71.426","46","0.000063724","pagerankComponentwiseCudaL2Norm","5000"
"web-Stanford","281903","2312669","61.021","46","0.00005526","pagerankComponentwiseCudaL2Norm","10000"
"web-Stanford","281903","2312669","48.839","45","0.000059601","pagerankComponentwiseCudaL2Norm","50000"
"web-Stanford","281903","2312669","44.549","44","0.000046788","pagerankComponentwiseCudaL2Norm","100000"
"web-Stanford","281903","2312669","42.934","44","0.000036198","pagerankComponentwiseCudaL2Norm","500000"
"web-Stanford","281903","2312669","42.906","44","0.000036198","pagerankComponentwiseCudaL2Norm","1000000"
"web-Stanford","281903","2312669","42.911","44","0.000036198","pagerankComponentwiseCudaL2Norm","5000000"
"web-Stanford","281903","2312669","42.895","44","0.000036198","pagerankComponentwiseCudaL2Norm","10000000"
"web-Stanford","281903","2312669","42.914","44","0.000036198","pagerankComponentwiseCudaL2Norm","50000000"
"web-Stanford","281903","2312669","6.256","41","0.00006176","pagerankMonolithicCudaLiNorm","0"
"web-Stanford","281903","2312669","1126.868","23","0.026169","pagerankComponentwiseCudaLiNorm","1"
"web-Stanford","281903","2312669","452.609","23","0.026745","pagerankComponentwiseCudaLiNorm","5"
"web-Stanford","281903","2312669","340.179","23","0.02549","pagerankComponentwiseCudaLiNorm","10"
